Product,Price,Quantity,Date
Fish Food Pellets,178.65,12,2024-01-30
Brine Shrimp,199.31,2,2024-02-23
Betta Fish,21.49,5,2024-04-26
Aquarium Filter - Small,194.19,11,2024-04-21
Betta Tank,8.6,15,2024-02-12
Algae Control,59.21,6,2024-01-02
LED Aquarium Light,110.6,20,2024-08-02
Aquarium Stand,53.82,2,2024-03-31
Otocinclus Catfish,171.55,11,2024-01-19
Fish Net,113.94,13,2023-12-26
Gravel Vacuum,162.62,12,2024-08-02
Sand Substrate,36.17,4,2024-02-24
Aquarium Heater,14.93,12,2024-06-13
Sand Substrate,158.82,7,2023-10-03
Sand Substrate,93.29,1,2024-03-17
Fish Food Pellets,161.62,8,2024-05-14
Aquarium Moss,131.81,20,2024-03-31
Filter Cartridges,135.25,7,2024-09-17
Angelfish,41.87,8,2024-03-03
Aquarium Moss,50.13,1,2024-04-10
Bacterial Supplement,29.41,5,2023-11-14
Goldfish,187.66,7,2024-09-05
Driftwood,24.45,9,2024-02-14
Water Test Kit,195.58,13,2023-11-20
Aquarium Filter - Medium,186.78,14,2024-04-19
Algae Wafers,113.01,4,2024-05-12
Aquarium Filter - Small,110.25,3,2023-11-17
Betta Fish,89.36,17,2024-03-26
Gravel Vacuum,80.49,13,2023-09-27
Artificial Plants,128.64,2,2024-03-15
Aquarium Filter - Small,186.9,6,2024-08-01
Guppy,173.63,1,2024-04-02
Driftwood,107.87,20,2024-07-24
Molly,9.98,2,2024-06-21
Betta Tank,67.13,14,2023-12-22
Aquarium Background,60.51,1,2024-02-13
Breeding Box,140.79,12,2024-04-21
Bacterial Supplement,162.55,9,2024-02-06
Check Valve,145.54,18,2024-06-19
Quarantine Tank,72.61,10,2024-02-25
Decorative Rocks,7.22,14,2023-10-29
Ceramic Ornaments,147.59,18,2024-03-25
Fish Tank - 20 Gallon,168.14,5,2023-10-14
Corydoras Catfish,63.6,5,2023-11-09
Brine Shrimp,79.77,1,2024-06-04
Live Aquarium Plants - Anubias,170.91,11,2024-01-20
Ammonia Remover,14.04,2,2023-10-25
Clown Loach,193.42,1,2024-04-01
Rainbow Shark,164.79,13,2024-08-13
Aquarium Filter - Medium,94.73,3,2024-09-10
Live Aquarium Plants - Java Fern,83.12,10,2024-04-18
Goldfish,50.63,9,2024-08-31
Aquarium Filter - Medium,182.41,20,2023-10-01
Aquarium Filter - Medium,118.94,19,2023-12-02
Fish Tank - 5 Gallon,192.3,18,2024-07-28
Gravel Substrate,30.22,15,2024-03-11
pH Adjuster,120.08,17,2023-12-25
Aquarium Filter - Large,40.42,4,2024-03-15
Fish Tank - 5 Gallon,103.78,1,2023-10-03
Fish Food Flakes,43.75,3,2024-03-13
Aquarium Filter - Large,146.87,8,2024-08-22
Angelfish,114.72,16,2023-12-22
Fish Tank - 5 Gallon,5.2,8,2024-01-11
Water Conditioner,88.51,7,2024-07-18
Water Test Kit,134.95,4,2024-09-21
Siamese Algae Eater,40.66,1,2024-06-17
Breeding Box,193.86,18,2024-02-18
Breeding Box,52.63,13,2024-06-02
Automatic Fish Feeder,102.5,13,2024-01-25
Fish Net,125.05,8,2023-12-01
Aquarium Stand,159.49,13,2024-01-20
pH Adjuster,33.62,15,2024-02-03
Zebra Danio,77.47,1,2024-04-04
Aquarium Heater,103.88,2,2024-08-12
Quarantine Tank,28.85,5,2023-10-24
Molly,59.16,17,2024-05-16
Driftwood,22.9,3,2023-12-02
Rainbow Shark,134.74,20,2023-11-16
Fish Tank - 5 Gallon,104.55,1,2023-11-01
Water Test Kit,127.31,17,2024-09-16
Fish Net,148.28,3,2024-01-30
Water Test Kit,127.61,9,2024-03-23
Bio Balls,185.45,11,2024-04-07
Clown Loach,34.35,2,2024-05-12
Ceramic Ornaments,139.13,14,2024-07-29
pH Adjuster,100.11,9,2023-10-26
Frozen Bloodworms,129.38,3,2024-08-28
Fish Tank - 10 Gallon,54.15,7,2024-07-05
Fish Food Pellets,73.46,11,2024-01-31
Gravel Vacuum,48.6,15,2024-05-16
Decorative Rocks,123.4,11,2024-01-22
Live Aquarium Plants - Amazon Sword,158.69,7,2024-05-24
Fish Food Pellets,98.39,1,2024-01-08
Thermometer,113.93,15,2024-09-07
Live Aquarium Plants - Amazon Sword,178.94,13,2024-09-21
Clown Loach,161.88,9,2024-02-16
Angelfish,121.3,7,2023-11-24
Fish Food Flakes,27.91,11,2024-05-28
Live Aquarium Plants - Amazon Sword,169.45,8,2024-02-04
Fish Tank - 5 Gallon,168.65,18,2024-08-29
Gravel Substrate,72.68,16,2024-04-03
Fish Tank - 5 Gallon,6.99,1,2024-04-05
Air Pump,21.99,3,2024-05-19
Clown Loach,42.28,9,2024-03-02
Fish Tank - 50 Gallon,110.85,15,2024-02-07
Water Test Kit,119.22,20,2024-02-26
Cherry Barb,57.4,13,2023-12-08
pH Adjuster,123.08,15,2024-06-12
Quarantine Tank,36.5,20,2024-08-30
Thermometer,15.3,20,2024-06-26
Brine Shrimp,131.5,11,2024-08-29
Fish Tank - 20 Gallon,185.75,19,2024-05-14
Algae Scrubber,26.6,14,2023-10-08
Molly,156.14,11,2023-11-17
Breeding Box,38.69,8,2024-05-12
Aquarium Filter - Small,198.78,14,2024-04-09
Siamese Algae Eater,10.78,10,2024-01-21
Gravel Vacuum,29.84,10,2024-03-30
Neon Tetra,15.24,12,2024-04-13
Automatic Fish Feeder,140.46,14,2024-02-17
Artificial Plants,90.31,20,2024-06-19
Algae Wafers,127.29,11,2024-09-05
Cherry Barb,31.38,16,2024-04-24
Air Stone,51.34,14,2024-08-21
Aquarium Background,71.39,6,2024-02-28
Bio Balls,54.55,1,2023-10-06
Filter Cartridges,28.85,11,2024-07-10
Aquarium Background,71.46,6,2024-01-16
Aquarium Heater,155.2,6,2023-11-10
Breeding Box,129.57,14,2024-01-12
Fish Food Pellets,81.62,13,2024-06-21
Angelfish,176.76,15,2024-06-08
Fish Tank - 10 Gallon,74.27,15,2024-09-15
Bacterial Supplement,13.04,7,2024-02-11
Air Pump,17.86,12,2023-12-05
Ceramic Ornaments,24.03,15,2024-01-26
Frozen Bloodworms,98.0,5,2024-01-07
Corydoras Catfish,179.47,20,2024-03-22
Fish Net,164.72,8,2023-11-04
Water Test Kit,171.47,4,2024-06-16
Live Aquarium Plants - Java Fern,94.05,2,2024-03-11
Clown Loach,41.85,4,2024-01-24
Sand Substrate,98.01,18,2024-02-07
Clown Loach,100.43,15,2024-09-13
Ceramic Ornaments,175.64,12,2023-10-12
Neon Tetra,11.24,3,2023-11-03
Automatic Fish Feeder,36.15,18,2023-10-03
Otocinclus Catfish,41.17,14,2024-03-10
Aquarium Heater,41.91,8,2024-09-21
Algae Scrubber,154.73,10,2023-10-04
Aquarium Filter - Medium,154.21,20,2024-08-18
Fish Tank - 50 Gallon,78.81,9,2023-11-29
Algae Scrubber,117.49,18,2024-02-15
Live Aquarium Plants - Anubias,125.34,11,2024-03-09
Aquarium Filter - Large,90.72,2,2024-03-11
Fish Tank - 10 Gallon,35.67,3,2024-02-25
Water Conditioner,173.17,17,2024-04-24
Fish Tank - 50 Gallon,194.72,13,2024-06-03
Fish Food Pellets,19.59,13,2024-06-16
Bio Balls,145.09,19,2024-03-10
Brine Shrimp,103.03,14,2024-02-01
Fish Tank - 10 Gallon,43.51,9,2023-10-21
Discus,70.4,3,2023-10-16
Algae Control,160.84,18,2024-08-14
Driftwood,118.58,7,2024-02-14
Ceramic Ornaments,71.56,1,2024-05-12
Quarantine Tank,107.81,4,2024-05-19
Gravel Substrate,186.64,15,2024-01-28
Zebra Danio,167.23,16,2023-10-31
Live Aquarium Plants - Java Fern,19.11,14,2023-10-22
Rainbow Shark,9.11,14,2024-09-18
Quarantine Tank,196.06,20,2023-11-30
Fish Food Pellets,128.07,6,2023-12-06
Discus,119.95,18,2023-11-15
Check Valve,156.26,4,2024-06-17
Guppy,133.84,16,2024-08-02
Artificial Plants,117.46,17,2023-12-05
Fish Food Pellets,112.05,4,2024-03-15
Otocinclus Catfish,187.66,16,2024-07-02
Fish Net,143.03,11,2023-11-07
Bio Balls,52.55,6,2024-04-28
Aquarium Heater,23.99,6,2023-10-18
Algae Wafers,66.95,10,2023-10-10
Corydoras Catfish,177.22,5,2024-03-06
Algae Scrubber,128.43,5,2024-09-15
Aquarium Background,145.33,5,2024-05-28
Driftwood,169.9,8,2024-02-04
Air Pump,59.79,17,2024-03-20
Angelfish,186.94,10,2024-06-01
Fish Net,125.26,17,2023-11-26
Gravel Substrate,61.14,15,2024-03-03
Fish Tank - 20 Gallon,127.34,1,2024-03-11
Breeding Box,82.55,7,2024-08-01
Fish Tank - 5 Gallon,199.07,19,2024-03-20
Ceramic Ornaments,24.98,2,2024-09-01
Aquarium Filter - Medium,105.08,4,2024-04-02
Air Pump,168.85,6,2023-12-28
Breeding Box,18.29,16,2024-02-06
Gravel Vacuum,53.76,7,2024-08-12
Artificial Plants,120.21,4,2024-03-13
Platy,187.61,7,2024-05-23
Live Aquarium Plants - Amazon Sword,70.63,4,2024-04-26
Neon Tetra,80.35,20,2024-05-14
Sand Substrate,21.61,11,2023-11-30
Gravel Vacuum,47.32,3,2024-03-12
Air Stone,188.01,14,2023-10-13
Aquarium Stand,101.64,7,2024-09-20
Betta Tank,83.64,19,2024-02-10
Algae Wafers,49.94,18,2023-11-20
Water Test Kit,133.04,7,2024-05-08
Aquarium Stand,157.4,8,2023-10-02
Water Conditioner,153.42,2,2024-01-23
Fish Tank - 5 Gallon,20.99,20,2024-06-26
Bio Balls,60.28,7,2024-03-30
Fish Net,174.05,4,2024-05-25
Aquarium Stand,160.15,9,2023-10-17
Algae Scrubber,153.21,18,2024-05-10
Algae Control,108.4,10,2024-09-20
Thermometer,38.66,6,2024-04-28
Fish Food Flakes,110.11,15,2024-07-28
Aquarium Filter - Small,40.64,11,2023-10-06
Check Valve,44.93,6,2023-09-24
Fish Net,173.24,16,2024-02-10
Angelfish,142.88,4,2024-05-07
Ceramic Ornaments,79.46,17,2024-04-11
Otocinclus Catfish,45.4,4,2024-05-11
Goldfish,39.92,9,2024-04-23
Aquarium Background,80.18,6,2024-08-23
Fish Net,101.24,20,2024-03-25
Angelfish,136.54,17,2024-09-11
Live Aquarium Plants - Java Fern,183.03,8,2024-01-27
Aquarium Filter - Medium,193.4,4,2023-10-07
pH Adjuster,193.19,18,2024-02-24
Driftwood,154.6,11,2023-11-16
Breeding Box,179.88,10,2023-11-22
Fish Tank - 50 Gallon,183.2,20,2024-01-31
Air Stone,169.22,19,2024-05-30
Platy,172.77,20,2024-07-01
Air Stone,107.39,10,2023-12-11
Driftwood,6.33,12,2023-12-05
Angelfish,60.83,7,2023-11-07
Gravel Substrate,181.97,13,2023-12-28
Otocinclus Catfish,23.8,10,2023-10-10
Siamese Algae Eater,94.01,10,2023-09-29
Fish Net,53.27,8,2024-04-30
Discus,145.97,10,2024-06-25
Water Test Kit,162.05,12,2024-07-12
Bacterial Supplement,68.77,19,2024-04-13
Bio Balls,167.16,8,2024-03-09
Fish Net,41.48,9,2024-07-31
Filter Cartridges,64.26,5,2023-11-28
Live Aquarium Plants - Amazon Sword,113.62,16,2023-12-05
Air Stone,128.99,2,2024-05-23
Fish Tank - 10 Gallon,29.17,18,2024-01-24
Betta Tank,34.1,16,2023-11-16
Rainbow Shark,188.21,16,2024-07-02
Algae Wafers,55.26,14,2024-05-18
Thermometer,8.75,17,2024-01-22
Fish Tank - 10 Gallon,11.47,15,2024-08-04
Air Pump,128.55,17,2024-03-07
Aquarium Filter - Small,68.0,3,2024-05-09
Bacterial Supplement,38.48,13,2024-06-02
Siamese Algae Eater,172.53,6,2024-08-16
Decorative Rocks,178.59,9,2024-03-23
Fish Net,118.85,7,2024-04-08
Air Pump,110.9,12,2024-06-01
Fish Food Pellets,15.87,5,2024-06-23
Air Stone,118.43,18,2024-03-03
Thermometer,136.69,11,2024-07-31
Clown Loach,27.51,11,2024-03-04
Neon Tetra,105.76,2,2024-08-19
Otocinclus Catfish,99.82,19,2024-04-06
Check Valve,144.46,3,2024-01-18
Bacterial Supplement,100.9,13,2024-07-10
Live Aquarium Plants - Java Fern,141.55,17,2023-11-01
Cherry Barb,125.13,6,2024-05-18
Aquarium Heater,163.5,2,2024-08-27
Aquarium Filter - Large,175.6,7,2024-05-21
Gravel Substrate,138.74,3,2024-06-27
Automatic Fish Feeder,149.66,17,2024-01-18
Automatic Fish Feeder,137.73,11,2024-02-16
Gravel Substrate,118.98,9,2024-07-19
Gravel Substrate,166.37,10,2024-03-10
Air Stone,163.65,6,2023-11-04
Fish Tank - 50 Gallon,118.58,16,2024-08-03
Artificial Plants,112.45,13,2024-01-25
Driftwood,143.1,6,2024-05-22
Ceramic Ornaments,185.84,16,2024-05-05
Fish Food Flakes,58.18,5,2024-05-30
Driftwood,101.55,10,2024-05-25
Angelfish,20.66,18,2024-02-14
LED Aquarium Light,56.35,11,2023-11-03
Discus,92.37,12,2023-10-27
Otocinclus Catfish,153.21,20,2024-06-02
Corydoras Catfish,110.29,5,2024-04-18
Live Aquarium Plants - Java Fern,190.35,2,2024-07-24
Fish Food Flakes,14.71,14,2024-08-27
Bacterial Supplement,24.2,18,2023-10-09
Fish Tank - 20 Gallon,52.94,3,2024-07-17
Rainbow Shark,96.14,7,2024-05-12
Water Test Kit,30.62,16,2024-08-12
Discus,37.66,6,2024-05-11
Fish Tank - 20 Gallon,156.97,19,2023-11-06
Aquarium Filter - Large,62.45,10,2024-06-10
Discus,190.13,20,2023-12-30
Filter Cartridges,27.9,10,2024-07-09
Water Test Kit,85.78,16,2024-01-02
Algae Scrubber,150.63,5,2024-04-17
Bacterial Supplement,8.79,6,2023-10-08
Air Stone,182.61,13,2023-11-16
Quarantine Tank,199.24,6,2023-10-02
Algae Scrubber,180.79,19,2024-01-11
Algae Wafers,75.47,1,2024-09-20
Clown Loach,62.34,18,2023-11-26
Ammonia Remover,63.37,19,2024-01-08
Sand Substrate,170.11,19,2024-07-16
Platy,101.29,9,2023-11-26
Platy,128.81,18,2024-01-09
Aquarium Stand,133.49,1,2024-03-30
Algae Control,54.3,19,2024-04-03
Breeding Box,13.75,10,2024-06-19
Decorative Rocks,13.68,16,2024-08-09
Bacterial Supplement,15.73,18,2024-01-26
Automatic Fish Feeder,189.98,18,2023-09-28
Air Stone,179.76,16,2024-07-01
Brine Shrimp,106.23,9,2024-04-05
Aquarium Background,178.68,17,2024-06-09
Live Aquarium Plants - Java Fern,22.35,15,2024-03-29
Artificial Plants,194.65,19,2024-09-11
Neon Tetra,153.31,2,2024-08-28
Rainbow Shark,166.64,5,2023-11-06
Aquarium Moss,55.35,18,2024-07-19
Aquarium Moss,132.72,11,2023-12-17
Fish Tank - 50 Gallon,188.78,1,2024-09-08
Rainbow Shark,77.54,11,2024-08-30
Platy,157.57,8,2024-06-12
Platy,36.48,8,2024-02-01
Neon Tetra,86.55,17,2024-03-25
Fish Tank - 50 Gallon,127.01,18,2024-01-26
Decorative Rocks,119.95,9,2023-10-24
Air Stone,77.83,9,2024-07-18
Aquarium Stand,101.16,10,2024-06-06
Thermometer,110.96,16,2023-10-31
Aquarium Stand,78.55,13,2023-11-15
Aquarium Stand,188.21,14,2024-05-09
Fish Food Flakes,177.23,13,2024-03-01
Thermometer,102.55,11,2023-10-01
Frozen Bloodworms,92.03,18,2024-03-08
Water Conditioner,5.12,13,2023-11-11
Fish Food Pellets,166.33,9,2024-03-01
Molly,17.2,4,2023-11-30
Algae Scrubber,75.69,20,2024-06-21
Molly,36.77,8,2024-07-02
Fish Food Pellets,132.93,17,2023-11-29
Clown Loach,140.97,17,2024-04-25
Thermometer,146.2,2,2024-02-17
Aquarium Filter - Small,38.29,20,2024-02-21
Gravel Vacuum,105.5,3,2024-09-19
Cherry Barb,42.25,5,2024-09-20
Ammonia Remover,188.17,7,2024-09-10
Discus,55.87,13,2024-01-03
Automatic Fish Feeder,16.93,18,2023-11-09
Bio Balls,51.59,4,2024-05-16
Fish Tank - 10 Gallon,41.02,12,2024-02-28
Aquarium Filter - Large,85.27,15,2023-11-02
Aquarium Moss,83.48,17,2023-12-02
Fish Food Flakes,178.25,16,2024-07-26
Aquarium Filter - Large,66.09,16,2024-05-26
Quarantine Tank,14.7,17,2023-10-09
Angelfish,72.61,15,2024-05-09
Fish Tank - 50 Gallon,44.87,14,2023-11-05
Air Pump,64.61,19,2023-12-15
Platy,10.8,5,2024-08-31
Algae Wafers,131.71,16,2024-06-28
Sand Substrate,184.38,14,2023-11-19
Platy,48.21,8,2024-06-06
Water Test Kit,106.73,7,2024-01-23
Betta Tank,147.28,14,2024-03-18
LED Aquarium Light,74.07,1,2023-10-04
Goldfish,74.15,8,2024-04-13
Guppy,187.37,19,2024-04-05
Fish Tank - 5 Gallon,191.98,10,2024-04-11
Goldfish,27.58,4,2024-07-16
pH Adjuster,100.99,9,2023-12-03
Water Test Kit,103.11,4,2024-04-26
Air Pump,32.98,6,2024-08-09
Quarantine Tank,91.26,19,2023-11-06
Quarantine Tank,149.94,15,2024-05-23
Brine Shrimp,163.75,15,2024-06-12
Goldfish,114.93,6,2024-08-31
Zebra Danio,161.07,8,2024-09-01
Guppy,154.65,15,2023-09-26
Breeding Box,135.4,8,2024-08-13
Algae Control,183.71,1,2024-09-03
Fish Tank - 20 Gallon,32.91,9,2024-04-01
Bio Balls,167.67,19,2024-03-16
Water Conditioner,194.47,9,2023-12-02
Platy,75.43,19,2023-10-21
Thermometer,181.93,5,2024-01-18
Angelfish,109.18,10,2023-12-14
Algae Scrubber,185.24,8,2024-05-13
Brine Shrimp,15.5,4,2023-10-27
Sand Substrate,91.88,16,2024-07-16
Betta Fish,112.53,13,2024-08-20
Water Conditioner,158.2,16,2024-09-02
Algae Scrubber,10.8,10,2023-12-03
Live Aquarium Plants - Anubias,173.25,10,2024-03-07
Neon Tetra,58.77,17,2023-10-27
Aquarium Background,172.47,6,2024-07-03
Guppy,171.14,4,2024-02-15
Air Pump,5.6,20,2024-09-16
Gravel Vacuum,13.98,17,2024-01-25
Algae Control,89.55,13,2024-01-01
Cherry Barb,83.79,15,2024-02-19
Algae Wafers,49.02,18,2024-07-18
Clown Loach,15.1,18,2024-07-14
Sand Substrate,193.76,3,2024-03-07
Quarantine Tank,177.5,3,2024-01-05
Neon Tetra,88.37,4,2024-01-06
Aquarium Stand,111.14,20,2024-02-12
Discus,191.27,17,2024-02-04
Air Pump,198.44,5,2023-11-10
Brine Shrimp,172.42,18,2023-12-03
Cherry Barb,194.51,1,2024-03-17
pH Adjuster,103.63,3,2024-06-23
Bacterial Supplement,122.32,12,2024-05-07
Air Pump,87.29,17,2024-03-20
Bacterial Supplement,85.34,5,2024-06-27
Aquarium Filter - Large,15.0,4,2024-01-08
Aquarium Heater,155.4,7,2024-07-21
Cherry Barb,195.59,12,2023-11-22
Water Conditioner,194.89,5,2024-05-02
Zebra Danio,173.25,1,2024-08-05
Molly,11.49,19,2024-01-25
Corydoras Catfish,130.24,14,2023-10-24
Betta Fish,42.36,1,2024-07-24
Air Pump,94.31,8,2023-11-01
Angelfish,31.14,16,2023-11-13
Goldfish,22.77,3,2024-05-21
Aquarium Heater,84.58,20,2024-03-29
Quarantine Tank,11.84,14,2024-01-20
Siamese Algae Eater,86.63,16,2024-09-08
Bacterial Supplement,58.79,14,2024-01-05
Otocinclus Catfish,167.6,18,2024-03-06
Artificial Plants,112.05,15,2024-08-08
Bio Balls,136.98,20,2024-03-13
pH Adjuster,120.53,11,2024-01-21
Angelfish,11.47,9,2024-09-16
Fish Tank - 5 Gallon,127.39,1,2024-08-25
Thermometer,59.48,11,2024-03-25
Decorative Rocks,188.71,15,2024-08-08
Ceramic Ornaments,13.73,5,2024-02-09
Ammonia Remover,41.18,1,2023-10-29
Water Conditioner,132.89,8,2024-03-15
Live Aquarium Plants - Java Fern,100.14,1,2023-12-07
Fish Tank - 10 Gallon,79.57,7,2023-12-10
Driftwood,61.46,11,2023-11-19
LED Aquarium Light,33.65,8,2024-04-22
Fish Food Pellets,43.15,17,2023-10-03
Zebra Danio,25.67,15,2024-04-27
Breeding Box,11.68,6,2024-02-10
Aquarium Moss,194.66,9,2024-08-10
Algae Control,185.74,6,2024-04-18
Bio Balls,151.41,14,2023-12-13
Frozen Bloodworms,188.46,8,2024-05-05
